Agent,Episode,Stage,Action,Reward_Step,Raw_WRS,Raw_ATE,Raw_DIE,Penalty_Fairness
Q-Learning (WRS Only),2,7,m2,-13.395454152181006,1.01026284377228,0.049269295098055166,0.16427593327193793,13.388147103161558
Q-Learning (WRS Only),2,8,m2,-12.93169860401591,0.9837430150853236,0.061031435688931816,0.16022914050259968,13.042012960905229
Q-Learning (WRS Only),2,9,m4,-10.429702425611588,0.7902754441475449,0.05043498173403249,0.12656489007382316,10.434052242951912
Q-Learning (WRS Only),2,10,m4,-12.312061834585991,0.9577962422619298,0.06437596024502995,0.14389295072084957,12.45582143703629
Q-Learning (WRS Only),2,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),2,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),2,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),2,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),2,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),3,1,m4,-3.1207516633981003,0.3814403907762291,0.19089186706625708,0.010763321314919,4.029670334060671
Q-Learning (WRS Only),3,2,m4,-6.949413193324533,0.6974298159843209,0.17067016054701156,0.05909083194757203,8.156114798794649
Q-Learning (WRS Only),3,3,m2,-10.822537981876582,0.9110820215108394,0.12035666247931372,0.12076421957806625,11.526104606669719
Q-Learning (WRS Only),3,4,m4,-11.222590299388127,0.926197232384823,0.09958501928168599,0.1228234084178378,11.718440492204987
Q-Learning (WRS Only),3,5,m4,-12.21015881308103,0.9557935881242737,0.07778940766265567,0.1465058504232425,12.488052889707587
Q-Learning (WRS Only),3,6,m4,-13.011551316530294,0.9928395694202478,0.061973585328800554,0.16014457378079122,13.1312871698183
Q-Learning (WRS Only),3,7,m2,-13.714025900005872,1.0412474405971746,0.060226060921829846,0.17019060516262124,13.81628650922417
Q-Learning (WRS Only),3,8,m2,-12.997374624711224,0.9860148866385992,0.06107385324635946,0.16239821453944137,13.108113157174818
Q-Learning (WRS Only),3,9,m4,-11.091427281910706,0.8243880277293844,0.04241614514113862,0.13858542280141242,11.015588733322092
Q-Learning (WRS Only),3,10,m4,-12.17698391115081,0.9482502209156012,0.07018708465313983,0.14481762742630977,12.378854757682207
Q-Learning (WRS Only),3,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),3,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),3,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),3,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),3,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),4,1,m4,-3.44464578270538,0.4045873446327683,0.17772142984445585,0.008799331741112804,4.221860081149939
Q-Learning (WRS Only),4,2,m4,-7.375477575729433,0.7450854237288136,0.1702216840944538,0.05634200896929173,8.577694416673971
Q-Learning (WRS Only),4,3,m2,-11.38299301690479,0.983425762711864,0.13082141771449668,0.11784747834655579,12.191207194049756
Q-Learning (WRS Only),4,4,m4,-12.22407762520888,1.0036466666666664,0.10189550918555879,0.13532830251989017,12.743032717064468
Q-Learning (WRS Only),4,5,m4,-13.41550311365838,1.0204207909604517,0.05952846275988815,0.16532899158263717,13.51078774125726
Q-Learning (WRS Only),4,6,m4,-13.958374468853016,1.0791396610169484,0.06664908702060046,0.1666734364444769,14.12486533905902
Q-Learning (WRS Only),4,7,m2,-15.112587466873858,1.1349908474576273,0.0567098934913787,0.1914888963605686,15.179686401787645
Q-Learning (WRS Only),4,8,m2,-14.329454175506775,1.0922875706214694,0.06160400806552355,0.17613092749736592,14.44549425616201
Q-Learning (WRS Only),4,9,m4,-12.069899396162526,0.8906796610169491,0.03867632367144652,0.15249330113537501,11.956662632876991
Q-Learning (WRS Only),4,10,m4,-13.783170058162776,1.0388485875706215,0.05355941918592839,0.17151391871579222,13.81876425002206
Q-Learning (WRS Only),4,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),4,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),4,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),4,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),4,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),5,1,m4,-2.682890710871066,0.33683045650921645,0.19728804974303596,0.014373332160463048,3.6557712083014255
Q-Learning (WRS Only),5,2,m4,-6.570963904514715,0.6775210119047625,0.17204310904155715,0.05080924379413301,7.791394994930286
Q-Learning (WRS Only),5,3,m2,-11.00854415947763,0.9384275489631335,0.12324329924900718,0.11783508311681831,11.740977151967702
Q-Learning (WRS Only),5,4,m4,-11.685599327066658,0.9527946916602661,0.10288396351806131,0.13432460228223056,12.214438962247272
Q-Learning (WRS Only),5,5,m4,-12.651770293568992,0.9792741818676398,0.07209461052432735,0.15399872900679346,12.872716398812265
Q-Learning (WRS Only),5,6,m4,-12.911714034358448,1.0112857059651819,0.07337106695781816,0.15162838221424052,13.14542470393663
Q-Learning (WRS Only),5,7,m2,-14.135585692428505,1.0695998201484893,0.05621020264066858,0.17508447586751485,14.19768771883519
Q-Learning (WRS Only),5,8,m2,-13.987241222434506,1.0896049868791604,0.06743106437319232,0.16327509986874125,14.161551866166429
Q-Learning (WRS Only),5,9,m4,-11.425844480621445,0.8520567084293391,0.04010788608196266,0.14031781285738398,11.326923341441072
Q-Learning (WRS Only),5,10,m4,-12.878262337969247,0.9873272499039931,0.060041115226246417,0.1552700495595889,12.97867349023171
Q-Learning (WRS Only),5,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),5,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),5,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),5,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),5,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),6,1,m4,-3.04126161808473,0.37366101888158176,0.19951409032747613,0.014989616627183677,4.036402521359491
Q-Learning (WRS Only),6,2,m4,-6.06301509036409,0.6590126594054683,0.1781812207410501,0.037735035185995414,7.344827297774591
Q-Learning (WRS Only),6,3,m2,-10.715377136329403,0.9327391356517087,0.12338349031870949,0.10609103414997059,11.449212039516498
Q-Learning (WRS Only),6,4,m4,-10.692069548365977,0.9209211407264499,0.10988112975270732,0.10408347193142746,11.29088084589305
Q-Learning (WRS Only),6,5,m4,-11.948177234746973,0.9717852980726491,0.0797428463338865,0.1263876358679673,12.245605698085837
Q-Learning (WRS Only),6,6,m4,-12.154286942760773,1.0014732227635312,0.08888826942881124,0.12642187047067865,12.543169637048885
Q-Learning (WRS Only),6,7,m2,-13.38797667111528,1.058877243109018,0.06700312097406969,0.14846177248828982,13.558007880855978
Q-Learning (WRS Only),6,8,m2,-12.723275491406662,1.0185284075022645,0.07711348667265036,0.1404563141555261,12.994410358133166
Q-Learning (WRS Only),6,9,m4,-10.4765951150372,0.8163435966534369,0.06126583522224762,0.12129087503626546,10.589253467259677
Q-Learning (WRS Only),6,10,m4,-12.012735044414825,0.9576122908435424,0.07310436902009533,0.1333827913090177,12.243778734615779
Q-Learning (WRS Only),6,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),6,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),6,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),6,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),6,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),7,1,m4,-2.803687093202938,0.3582511740995209,0.19885860563762214,0.010488070429197527,3.7922731495791595
Q-Learning (WRS Only),7,2,m4,-7.4154969354211415,0.7791789183547779,0.17501457023646932,0.04369267271190275,8.665642637785835
Q-Learning (WRS Only),7,3,m2,-11.93729556559979,1.0599086914416151,0.1303231823319873,0.10707202372517555,12.740527388919663
Q-Learning (WRS Only),7,4,m4,-12.609774426717765,1.0757139830580353,0.0995690937686384,0.11741627669118973,13.105465364404148
Q-Learning (WRS Only),7,5,m4,-13.498945962473723,1.1105042582082232,0.07990017515097324,0.1346452565950612,13.797947713983456
Q-Learning (WRS Only),7,6,m4,-14.25012881127806,1.1549871412924428,0.06350299881090885,0.141764369323136,14.385158799387149
Q-Learning (WRS Only),7,7,m2,-15.242721850933412,1.2315082079650097,0.06360506450584857,0.15318452081709008,15.378772495991898
Q-Learning (WRS Only),7,8,m2,-14.535870335002418,1.1786194719742145,0.06689544523693595,0.14593150338148164,14.704824787371777
Q-Learning (WRS Only),7,9,m4,-12.26336223662012,0.9902338404121537,0.04888770249368346,0.1174950428717709,12.252239261556955
Q-Learning (WRS Only),7,10,m4,-13.60551410948302,1.100900650241001,0.05947777720431125,0.13456426895580612,13.700291881526132
Q-Learning (WRS Only),7,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),7,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),7,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),7,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),7,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),8,1,m4,-3.5538553281822414,0.4285288505418736,0.20329337899911618,0.015075030637733355,4.586789118173403
Q-Learning (WRS Only),8,2,m4,-6.928645943684673,0.7313022607279589,0.1720423770693259,0.04180235535491714,8.149069714377932
Q-Learning (WRS Only),8,3,m2,-11.405071281239827,1.020671417442812,0.13232034927935457,0.10107802998026272,12.228274774033373
Q-Learning (WRS Only),8,4,m4,-11.792564182767196,0.9861317794221287,0.09093305278675226,0.11702884582067152,12.201894710634718
Q-Learning (WRS Only),8,5,m4,-13.300154442713277,1.073197040359599,0.07047349733420688,0.13864595062296778,13.504889416055345
Q-Learning (WRS Only),8,6,m4,-13.740559744437256,1.1184401794183194,0.07324914496856783,0.13943246999698697,13.973051194122935
Q-Learning (WRS Only),8,7,m2,-14.571958104576114,1.1702191245262172,0.06644334312924316,0.15171001453031868,14.736391535868545
Q-Learning (WRS Only),8,8,m2,-14.478811511958995,1.1547785833190483,0.0615313739515884,0.15231697091421978,14.594125251474878
Q-Learning (WRS Only),8,9,m4,-11.575569172880131,0.9192179620212179,0.04920881080676888,0.11877388303678214,11.56765728094782
Q-Learning (WRS Only),8,10,m4,-13.37048965006675,1.0554040821476864,0.05410186685718301,0.14287337485808582,13.41150831863858
Q-Learning (WRS Only),8,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),8,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),8,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),8,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),8,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),9,1,m4,-3.2661106685502377,0.40258562598610925,0.2097427510041882,0.016884095936551352,4.36353817859212
Q-Learning (WRS Only),9,2,m4,-6.99426901083354,0.7327475646155605,0.17421424781106357,0.04544679213942862,8.236411488944176
Q-Learning (WRS Only),9,3,m2,-11.030076229174398,0.9689303872053875,0.13263267060219158,0.10835495315712193,11.856402935196314
Q-Learning (WRS Only),9,4,m4,-10.93305688190894,0.9189362019551391,0.10246939154772455,0.1134194388917397,11.457750797386185
Q-Learning (WRS Only),9,5,m4,-12.503480973660162,1.0057860062785666,0.08600254545100765,0.1402823182692286,12.863506428170238
Q-Learning (WRS Only),9,6,m4,-13.132039537083358,1.043546049870688,0.06729068484833803,0.14347429434299286,13.304946385566739
Q-Learning (WRS Only),9,7,m2,-13.610280124841994,1.0832744285040419,0.07272680545239586,0.15024019471627664,13.837548179365953
Q-Learning (WRS Only),9,8,m2,-13.55975985837194,1.0733887773874007,0.06671574285423454,0.14965147565201406,13.726917286914286
Q-Learning (WRS Only),9,9,m4,-10.931587233042707,0.8599489824980889,0.054480224535312524,0.11884498267074718,10.976389478395832
Q-Learning (WRS Only),9,10,m4,-12.653769082601956,0.9870623172953373,0.06185514050780777,0.14508486573633306,12.772320487680034
Q-Learning (WRS Only),9,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),9,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),9,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),9,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),9,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),10,1,m4,-3.215657502233265,0.38193262675702805,0.19347042559458866,0.01655177453044357,4.150361758179152
Q-Learning (WRS Only),10,2,m4,-6.924954364018463,0.7274057261187603,0.1755747999216269,0.04533225510235639,8.180702363234731
Q-Learning (WRS Only),10,3,m2,-11.46857069573402,1.0001919239457833,0.13231955428593853,0.11449234995677865,12.291766238593405
Q-Learning (WRS Only),10,4,m4,-11.59022667731238,0.9668655003944353,0.10536442596098768,0.12376079664889515,12.143870936922257
Q-Learning (WRS Only),10,5,m4,-12.890860574256305,1.0345689681942054,0.0844537565724095,0.14448542290191727,13.2353981399804
Q-Learning (WRS Only),10,6,m4,-12.792682225572761,1.0099240673407917,0.07392167148733146,0.14663291335190798,13.031898940446077
Q-Learning (WRS Only),10,7,m2,-13.86088972477509,1.0806761132028113,0.0642790419805949,0.15984595062764634,14.00368014458104
Q-Learning (WRS Only),10,8,m2,-13.513685162974715,1.0494516130593798,0.06437683616084003,0.15814686969946584,13.657453524583115
Q-Learning (WRS Only),10,9,m4,-10.83045546546295,0.8408561727266207,0.05664933191478506,0.12441935286722972,10.896948784610801
Q-Learning (WRS Only),10,10,m4,-12.639958834260813,0.9920660585197933,0.07359086451387091,0.14776034471007948,12.875867479399522
Q-Learning (WRS Only),10,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),10,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),10,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),10,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),10,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),11,1,m4,-2.7485295162473955,0.3394755239623943,0.19218633177250377,0.013781879717424506,3.670392833972433
Q-Learning (WRS Only),11,2,m4,-6.583521363685173,0.675699545975694,0.16813791009027818,0.050395250241550754,7.764900464587955
Q-Learning (WRS Only),11,3,m2,-11.058000110222757,0.9418129786746161,0.1111441384177124,0.11256558538268599,11.66944149439988
Q-Learning (WRS Only),11,4,m4,-11.226349089360927,0.9215160513643662,0.09493554543667812,0.12302720150420227,11.675704543727708
Q-Learning (WRS Only),11,5,m4,-12.691114054853692,1.0049897133684942,0.07256491822396219,0.1433433051704186,12.916763237093313
Q-Learning (WRS Only),11,6,m4,-12.894496126943404,1.031588791561568,0.07747168135757332,0.14266625124517288,13.169212940519136
Q-Learning (WRS Only),11,7,m2,-13.93872816606444,1.0731788167851413,0.05332791009501966,0.16201095495816112,13.972007267014636
Q-Learning (WRS Only),11,8,m2,-13.115192957266155,1.0491142077505162,0.07751661084032431,0.1449608494082117,13.390359065669397
Q-Learning (WRS Only),11,9,m4,-11.235568642641843,0.8841215730337084,0.060663083387618014,0.12504918730904696,11.342199476518022
Q-Learning (WRS Only),11,10,m4,-12.881730276104602,1.0096656638385686,0.05972634716295428,0.14411685546742295,12.978993747734144
Q-Learning (WRS Only),11,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),11,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),11,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),11,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),11,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),12,1,m4,-4.022885127506089,0.46891305973418956,0.1833465217033937,0.008360987359906508,4.856350344540026
Q-Learning (WRS Only),12,2,m4,-7.21020774625973,0.7180535397497687,0.15982375646778946,0.05639549567199689,8.308445310937625
Q-Learning (WRS Only),12,3,m2,-12.284700072346375,1.0309038605715395,0.11731089664905409,0.13243852165607597,12.957809038836915
Q-Learning (WRS Only),12,4,m4,-12.552809567530048,1.0210886412540776,0.09537085998494382,0.13978158774193541,13.006518167379486
Q-Learning (WRS Only),12,5,m4,-14.031402005818332,1.0974346088311178,0.07044908566105056,0.16307733870588298,14.235892862428837
Q-Learning (WRS Only),12,6,m4,-14.340594017698328,1.1125689216688575,0.06556622497590374,0.1685283525384395,14.496256267457365
Q-Learning (WRS Only),12,7,m2,-15.012648287051128,1.137113113285624,0.05372772008330355,0.18393971775139617,15.049925487884163
Q-Learning (WRS Only),12,8,m2,-14.473523809090404,1.1211930139720558,0.06225968861627533,0.16920952777663,14.596120695253157
Q-Learning (WRS Only),12,9,m4,-12.679684595484263,0.9603082293948692,0.039503505204183144,0.14858186767887022,12.574719647526095
Q-Learning (WRS Only),12,10,m4,-13.721993538843114,1.048973646852636,0.056169680317039526,0.16469769367435746,13.783690342013509
Q-Learning (WRS Only),12,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),12,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),12,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),12,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),12,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),13,1,m4,-3.0505372809867,0.37690059074831944,0.1907169472297947,0.009435042290072637,3.957706753284647
Q-Learning (WRS Only),13,2,m4,-7.068385300580832,0.7246365708497723,0.1770832355841979,0.05464259739625446,8.33921765642281
Q-Learning (WRS Only),13,3,m2,-10.819762044362545,0.9274544192581333,0.12782346461339952,0.11617262489576038,11.59799669049654
Q-Learning (WRS Only),13,4,m4,-10.945451622345038,0.9071893178457948,0.10596885210318069,0.12166234824594485,11.505140143376845
Q-Learning (WRS Only),13,5,m4,-12.32083462319377,0.989012012971631,0.09259185771950816,0.14283165353362715,12.746753200388852
Q-Learning (WRS Only),13,6,m4,-12.274992340408476,0.971307920699879,0.08787308173374,0.14703219753735433,12.653723157745876
Q-Learning (WRS Only),13,7,m2,-14.021757269081304,1.0738987492341998,0.0710221634432892,0.17464957055860997,14.231978903514197
Q-Learning (WRS Only),13,8,m2,-13.187873745891917,1.0611366518816214,0.09785914908576183,0.15275493589666594,13.666465236749534
Q-Learning (WRS Only),13,9,m4,-11.578465406573546,0.8805602506105982,0.051347181343847755,0.13931673569530212,11.591937220012024
Q-Learning (WRS Only),13,10,m4,-12.549297233594599,0.9564434021940679,0.061196220133348446,0.1548412706493702,12.661259434928084
Q-Learning (WRS Only),13,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),13,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),13,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),13,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),13,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),14,1,m4,-3.326617817223971,0.3963231598552568,0.19045319150888726,0.013395906688013798,4.2311497323128435
Q-Learning (WRS Only),14,2,m4,-6.21917220640203,0.6996456701433238,0.19034071746814193,0.03130613398251059,7.622579381083449
Q-Learning (WRS Only),14,3,m2,-11.076714508206392,0.9692296338867599,0.13413409127774292,0.11128795410581108,11.918055420983821
Q-Learning (WRS Only),14,4,m4,-11.352067516089699,0.949748823258124,0.10463447165710431,0.12004620000397516,11.898412232660743
Q-Learning (WRS Only),14,5,m4,-12.429196939196617,0.9940366297715343,0.08692122202714868,0.14290214308763804,12.798409159468104
Q-Learning (WRS Only),14,6,m4,-12.919087568315227,1.0127752359159927,0.07427463621384749,0.1517040785646887,13.161833930453701
Q-Learning (WRS Only),14,7,m2,-14.081835947199911,1.07889478111253,0.057631028543384685,0.1684599210754229,14.158146232633758
Q-Learning (WRS Only),14,8,m2,-13.38197421651106,1.043815626152973,0.07068792191378157,0.1575348587059572,13.588853435648875
Q-Learning (WRS Only),14,9,m4,-11.186475383331127,0.8421928065134097,0.04383701210476143,0.13514587196223213,11.12484550437874
Q-Learning (WRS Only),14,10,m4,-13.153697836277747,1.0154417283950612,0.05125418839702322,0.15059112181486842,13.16623972024798
Q-Learning (WRS Only),14,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),14,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),14,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),14,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),14,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),15,1,m4,-3.431919216133938,0.4013141770443117,0.18322666444131153,0.012552204505196812,4.2641858605470535
Q-Learning (WRS Only),15,2,m4,-6.900900834223092,0.6810888452469882,0.15908786719639545,0.05904455268585826,7.991779506187047
Q-Learning (WRS Only),15,3,m2,-10.4742545485794,0.8900549137818596,0.1294745109416416,0.11842252600886102,11.268999657995817
Q-Learning (WRS Only),15,4,m4,-11.230570280958425,0.9092832886850601,0.10448894094564014,0.1341313401782112,11.775459690414825
Q-Learning (WRS Only),15,5,m4,-12.662388327627339,0.9693939452746252,0.07594025088298069,0.16139256918554468,12.921790836457145
Q-Learning (WRS Only),15,6,m4,-12.78985742786189,0.9756586737228269,0.06818415390534084,0.16075561148435147,12.971698966915298
Q-Learning (WRS Only),15,7,m2,-13.611405779427486,1.0060421619979811,0.05488097342324689,0.17998969468400716,13.660215513659955
Q-Learning (WRS Only),15,8,m2,-13.384971350087357,0.9957762275265041,0.05855303527674514,0.17563697137948842,13.470501702854808
Q-Learning (WRS Only),15,9,m4,-10.790646287743202,0.8070207997103106,0.05178283395155052,0.13691333150778012,10.808474627258708
Q-Learning (WRS Only),15,10,m4,-12.65848969301315,0.9479998040948712,0.06147218209050303,0.16466067364847353,12.77321151391818
Q-Learning (WRS Only),15,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),15,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),15,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),15,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),15,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),16,1,m4,-2.6550827522661953,0.3372314425895725,0.195584577275448,0.011930704956247512,3.6109285250206753
Q-Learning (WRS Only),16,2,m4,-6.8116418949626825,0.7120939120063516,0.17799210192435375,0.04853118970713516,8.09156291420622
Q-Learning (WRS Only),16,3,m2,-11.738222327034029,1.0276570396092648,0.12633776731193205,0.1112514802030351,12.50160000015335
Q-Learning (WRS Only),16,4,m4,-12.266915735452715,1.0442236609143483,0.09941022269915364,0.11593906766503845,12.761017962444251
Q-Learning (WRS Only),16,5,m4,-13.525031136237953,1.0926010750955786,0.06947061316249693,0.13968632584535673,13.719737267862921
Q-Learning (WRS Only),16,6,m4,-14.172920453736094,1.1583388686195608,0.0753276493470892,0.1421404130505689,14.426196947206986
Q-Learning (WRS Only),16,7,m2,-15.294648947239494,1.1990053731576746,0.05186643638429112,0.1661629789752829,15.313313311082405
Q-Learning (WRS Only),16,8,m2,-14.445327058965193,1.148664227256316,0.05360016731166357,0.14973432297593345,14.481328732081828
