Agent,Episode,Stage,Action,Reward_Step,Raw_WRS,Raw_DIE,Penalty_Fairness
Q-Learning (WRS),15,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),15,2,m_textblob,-0.24271428571428574,0.014271428571428574,0.0,0.14271428571428574
Q-Learning (WRS),16,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),16,2,m_textblob,-0.19133333333333327,0.009133333333333327,0.0,0.09133333333333327
Q-Learning (WRS),17,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),17,2,m_textblob,-0.10161538461538465,0.00016153846153846502,0.0,0.0016153846153846502
Q-Learning (WRS),18,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),18,2,m_textblob,-0.1620491803278689,0.00620491803278689,0.0,0.062049180327868894
Q-Learning (WRS),19,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),19,2,m_textblob,-0.2183114754098361,0.011831147540983607,0.0,0.11831147540983607
Q-Learning (WRS),20,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),20,2,m_textblob,-0.1675409836065574,0.006754098360655739,0.0,0.06754098360655739
Q-Learning (WRS),21,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),21,2,m_textblob,-0.17627586206896545,0.007627586206896546,0.0,0.07627586206896546
Q-Learning (WRS),22,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),22,2,m_textblob,-0.195952380952381,0.0095952380952381,0.0,0.095952380952381
Q-Learning (WRS),23,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),23,2,m_textblob,-0.20631249999999998,0.010631249999999998,0.0,0.10631249999999998
Q-Learning (WRS),24,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),24,2,m_textblob,-0.21587499999999998,0.011587499999999997,0.0,0.11587499999999998
Q-Learning (WRS),25,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),25,2,m_textblob,-0.4243508771929825,0.03243508771929825,0.0,0.3243508771929825
Q-Learning (WRS),26,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),26,2,m_textblob,-0.2488412698412698,0.01488412698412698,0.0,0.1488412698412698
Q-Learning (WRS),27,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),27,2,m_textblob,-0.24347826086956523,0.014347826086956521,0.0,0.14347826086956522
Q-Learning (WRS),28,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),28,2,m_textblob,-0.157125,0.005712499999999999,0.0,0.05712499999999999
Q-Learning (WRS),29,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),29,2,m_textblob,-0.21820634920634924,0.011820634920634922,0.0,0.11820634920634923
Q-Learning (WRS),30,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),30,2,m_textblob,-0.10763934426229502,0.0007639344262295007,0.0,0.007639344262295006
Q-Learning (WRS),31,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),31,2,m_textblob,-0.2151587301587301,0.01151587301587301,0.0,0.1151587301587301
Q-Learning (WRS),32,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),32,2,m_textblob,-0.2849655172413793,0.01849655172413793,0.0,0.1849655172413793
Q-Learning (WRS),33,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),33,2,m_textblob,-0.11828571428571434,0.0018285714285714335,0.0,0.018285714285714336
Q-Learning (WRS),34,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),34,2,m_textblob,-0.11971428571428569,0.0019714285714285684,0.0,0.019714285714285684
Q-Learning (WRS),35,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),35,2,m_textblob,-0.15170967741935482,0.005170967741935482,0.0,0.051709677419354824
Q-Learning (WRS),36,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),36,2,m_textblob,-0.12518840579710147,0.0025188405797101467,0.0,0.025188405797101465
Q-Learning (WRS),37,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),37,2,m_textblob,-0.10036363636363636,3.6363636363636323e-05,0.0,0.00036363636363636323
Q-Learning (WRS),38,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),38,2,m_textblob,-0.2589285714285714,0.015892857142857143,0.0,0.15892857142857142
Q-Learning (WRS),39,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),39,2,m_textblob,-0.4169354838709677,0.03169354838709677,0.0,0.3169354838709677
Q-Learning (WRS),40,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),40,2,m_textblob,-0.3838461538461537,0.028384615384615376,0.0,0.28384615384615375
Q-Learning (WRS),41,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),41,2,m_textblob,-0.1676666666666667,0.006766666666666671,0.0,0.06766666666666671
Q-Learning (WRS),42,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),42,2,m_textblob,-0.18541379310344824,0.008541379310344824,0.0,0.08541379310344824
Q-Learning (WRS),43,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),43,2,m_textblob,-0.2638181818181818,0.016381818181818178,0.0,0.16381818181818178
Q-Learning (WRS),44,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),44,2,m_textblob,-0.12782456140350873,0.0027824561403508733,0.0,0.02782456140350873
Q-Learning (WRS),45,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),45,2,m_textblob,-0.34916949152542365,0.02491694915254237,0.0,0.24916949152542367
Q-Learning (WRS),46,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),46,2,m_textblob,-0.16661290322580646,0.006661290322580646,0.0,0.06661290322580646
Q-Learning (WRS),47,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),47,2,m_bf,-7.699999999999999,0.76,0.0,7.6
Q-Learning (WRS),48,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),48,2,m_textblob,-0.16497014925373132,0.006497014925373133,0.0,0.06497014925373133
Q-Learning (WRS),49,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),49,2,m_textblob,-0.14614285714285719,0.004614285714285719,0.0,0.046142857142857194
Q-Learning (WRS),50,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),50,2,m_textblob,-0.23948387096774193,0.013948387096774192,0.0,0.13948387096774192
Q-Learning (WRS),51,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),51,2,m_textblob,-0.32637288135593223,0.022637288135593223,0.0,0.22637288135593223
Q-Learning (WRS),52,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),52,2,m_textblob,-0.21735714285714286,0.011735714285714287,0.0,0.11735714285714287
Q-Learning (WRS),53,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),53,2,m_textblob,-0.23437735849056604,0.013437735849056602,0.0,0.13437735849056603
Q-Learning (WRS),54,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),54,2,m_textblob,-0.2485714285714285,0.01485714285714285,0.0,0.1485714285714285
Q-Learning (WRS),55,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),55,2,m_textblob,-0.35150877192982455,0.02515087719298246,0.0,0.25150877192982457
Q-Learning (WRS),56,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),56,2,m_textblob,-0.15038596491228068,0.005038596491228069,0.0,0.05038596491228069
Q-Learning (WRS),57,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),57,2,m_textblob,-0.3957936507936508,0.029579365079365077,0.0,0.2957936507936508
Q-Learning (WRS),58,1,trans_danish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),58,2,m_textblob,-0.24781159420289853,0.014781159420289854,0.0,0.14781159420289852
Q-Learning (WRS),59,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),59,2,m_textblob,-0.36368421052631583,0.026368421052631586,0.0,0.26368421052631585
Q-Learning (WRS),60,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),60,2,m_textblob,-0.21249152542372868,0.011249152542372869,0.0,0.11249152542372869
Q-Learning (WRS),61,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),61,2,m_textblob,-0.2832380952380952,0.01832380952380952,0.0,0.1832380952380952
Q-Learning (WRS),62,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),62,2,m_textblob,-0.18360655737704912,0.008360655737704913,0.0,0.08360655737704913
Q-Learning (WRS),63,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),63,2,m_textblob,-0.11375,0.0013750000000000001,0.0,0.013750000000000002
Q-Learning (WRS),64,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),64,2,m_textblob,-0.32184210526315793,0.022184210526315792,0.0,0.22184210526315792
Q-Learning (WRS),65,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),65,2,m_textblob,-0.2623333333333334,0.01623333333333334,0.0,0.16233333333333338
Q-Learning (WRS),66,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),66,2,m_textblob,-0.12839622641509435,0.002839622641509436,0.0,0.02839622641509436
Q-Learning (WRS),67,1,trans_spanish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),67,2,m_textblob,-0.26749999999999996,0.016749999999999998,0.0,0.16749999999999998
Q-Learning (WRS),68,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),68,2,m_textblob,-0.29077049180327874,0.01907704918032787,0.0,0.1907704918032787
Q-Learning (WRS),69,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),69,2,m_textblob,-0.3490000000000001,0.02490000000000001,0.0,0.24900000000000008
Q-Learning (WRS),70,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),70,2,m_textblob,-0.2416065573770492,0.01416065573770492,0.0,0.1416065573770492
Q-Learning (WRS),71,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),71,2,m_textblob,-0.10781818181818187,0.0007818181818181856,0.0,0.007818181818181856
Q-Learning (WRS),72,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),72,2,m_textblob,-0.24568965517241384,0.014568965517241385,0.0,0.14568965517241383
Q-Learning (WRS),73,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),73,2,m_textblob,-0.180875,0.0080875,0.0,0.08087499999999999
Q-Learning (WRS),74,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),74,2,m_textblob,-0.3682063492063492,0.026820634920634922,0.0,0.2682063492063492
Q-Learning (WRS),75,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),75,2,m_textblob,-0.24041935483870966,0.014041935483870964,0.0,0.14041935483870965
Q-Learning (WRS),76,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),76,2,m_textblob,-0.10807017543859647,0.0008070175438596469,0.0,0.008070175438596469
Q-Learning (WRS),77,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),77,2,m_textblob,-0.15463636363636368,0.005463636363636367,0.0,0.05463636363636366
Q-Learning (WRS),78,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),78,2,m_textblob,-0.19699999999999998,0.009699999999999997,0.0,0.09699999999999998
Q-Learning (WRS),79,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),79,2,m_textblob,-0.21502985074626868,0.011502985074626867,0.0,0.11502985074626867
Q-Learning (WRS),80,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),80,2,m_textblob,-0.2161818181818181,0.011618181818181809,0.0,0.11618181818181808
Q-Learning (WRS),81,1,trans_danish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),81,2,m_textblob,-0.1916666666666667,0.00916666666666667,0.0,0.0916666666666667
Q-Learning (WRS),82,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),82,2,m_textblob,-0.30819354838709667,0.02081935483870967,0.0,0.2081935483870967
Q-Learning (WRS),83,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),83,2,m_textblob,-0.14200000000000004,0.004200000000000003,0.0,0.04200000000000003
Q-Learning (WRS),84,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),84,2,m_textblob,-0.15735820895522387,0.005735820895522387,0.0,0.05735820895522387
Q-Learning (WRS),85,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),85,2,m_textblob,-0.24054838709677423,0.014054838709677423,0.0,0.14054838709677422
Q-Learning (WRS),86,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),86,2,m_textblob,-0.21747457627118638,0.01174745762711864,0.0,0.11747457627118639
Q-Learning (WRS),87,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),87,2,m_textblob,-0.17900000000000002,0.0079,0.0,0.07900000000000001
Q-Learning (WRS),88,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),88,2,m_textblob,-0.2090793650793651,0.010907936507936507,0.0,0.10907936507936507
Q-Learning (WRS),89,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),89,2,m_textblob,-0.16496774193548386,0.006496774193548385,0.0,0.06496774193548385
Q-Learning (WRS),90,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),90,2,m_textblob,-0.3226984126984127,0.022269841269841273,0.0,0.22269841269841273
Q-Learning (WRS),91,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),91,2,m_textblob,-0.22281250000000002,0.01228125,0.0,0.1228125
Q-Learning (WRS),92,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),92,2,m_textblob,-0.31937704918032794,0.021937704918032794,0.0,0.21937704918032794
Q-Learning (WRS),93,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),93,2,m_textblob,-0.27222222222222225,0.01722222222222223,0.0,0.17222222222222228
Q-Learning (WRS),94,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),94,2,m_random,-0.5727540983606557,0.047275409836065575,0.0,0.47275409836065574
Q-Learning (WRS),95,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),95,2,m_textblob,-0.14934426229508202,0.004934426229508201,0.0,0.049344262295082014
Q-Learning (WRS),96,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),96,2,m_textblob,-0.1418235294117646,0.004182352941176459,0.0,0.04182352941176459
Q-Learning (WRS),97,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),97,2,m_textblob,-0.252,0.015199999999999997,0.0,0.15199999999999997
Q-Learning (WRS),98,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),98,2,m_textblob,-0.12631249999999997,0.0026312499999999964,0.0,0.026312499999999964
Q-Learning (WRS),99,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),99,2,m_textblob,-0.19538461538461538,0.009538461538461536,0.0,0.09538461538461536
Q-Learning (WRS),100,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),100,2,m_textblob,-0.3816551724137931,0.028165517241379306,0.0,0.28165517241379306
Q-Learning (WRS),101,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),101,2,m_textblob,-0.1919491525423729,0.00919491525423729,0.0,0.0919491525423729
Q-Learning (WRS),102,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),102,2,m_textblob,-0.1943125,0.00943125,0.0,0.09431250000000001
Q-Learning (WRS),103,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),103,2,m_textblob,-0.10473913043478258,0.00047391304347825817,0.0,0.004739130434782582
Q-Learning (WRS),104,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),104,2,m_textblob,-0.14215942028985512,0.0042159420289855105,0.0,0.0421594202898551
Q-Learning (WRS),105,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),105,2,m_textblob,-0.12333333333333335,0.0023333333333333344,0.0,0.023333333333333345
Q-Learning (WRS),106,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),106,2,m_textblob,-0.14461290322580644,0.004461290322580644,0.0,0.04461290322580644
Q-Learning (WRS),107,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),107,2,m_textblob,-0.20630188679245287,0.010630188679245286,0.0,0.10630188679245285
Q-Learning (WRS),108,1,trans_spanish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),108,2,m_textblob,-0.31791803278688524,0.021791803278688526,0.0,0.21791803278688526
Q-Learning (WRS),109,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),109,2,m_random,-0.6089552238805971,0.05089552238805971,0.0,0.5089552238805971
Q-Learning (WRS),110,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),110,2,m_textblob,-0.26293749999999994,0.016293749999999996,0.0,0.16293749999999996
Q-Learning (WRS),111,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),111,2,m_textblob,-0.21496551724137927,0.011496551724137927,0.0,0.11496551724137927
Q-Learning (WRS),112,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),112,2,m_textblob,-0.10998245614035096,0.0009982456140350947,0.0,0.009982456140350947
Q-Learning (WRS),113,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),113,2,m_textblob,-0.3015714285714286,0.020157142857142856,0.0,0.20157142857142857
Q-Learning (WRS),114,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),114,2,m_textblob,-0.16270967741935488,0.006270967741935487,0.0,0.06270967741935486
Q-Learning (WRS),115,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),115,2,m_textblob,-0.256,0.015599999999999998,0.0,0.15599999999999997
Q-Learning (WRS),116,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),116,2,m_textblob,-0.17704918032786884,0.007704918032786884,0.0,0.07704918032786884
Q-Learning (WRS),117,1,trans_spanish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),117,2,m_textblob,-0.11366666666666672,0.0013666666666666716,0.0,0.013666666666666716
Q-Learning (WRS),118,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),118,2,m_textblob,-0.17987878787878786,0.007987878787878787,0.0,0.07987878787878787
Q-Learning (WRS),119,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),119,2,m_textblob,-0.14018840579710146,0.004018840579710146,0.0,0.040188405797101465
Q-Learning (WRS),120,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),120,2,m_textblob,-0.15533333333333332,0.005533333333333332,0.0,0.05533333333333332
Q-Learning (WRS),121,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),121,2,m_textblob,-0.3620877192982457,0.026208771929824563,0.0,0.26208771929824565
Q-Learning (WRS),122,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),122,2,m_textblob,-0.10486885245901642,0.00048688524590164095,0.0,0.00486885245901641
Q-Learning (WRS),123,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),123,2,m_textblob,-0.32146153846153847,0.022146153846153843,0.0,0.22146153846153843
Q-Learning (WRS),124,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),124,2,m_textblob,-0.15219672131147555,0.005219672131147554,0.0,0.052196721311475534
Q-Learning (WRS),125,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),125,2,m_textblob,-0.10724242424242426,0.0007242424242424262,0.0,0.007242424242424262
Q-Learning (WRS),126,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),126,2,m_textblob,-0.12107692307692308,0.002107692307692307,0.0,0.02107692307692307
Q-Learning (WRS),127,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),127,2,m_textblob,-0.13049999999999998,0.003049999999999998,0.0,0.03049999999999998
Q-Learning (WRS),128,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),128,2,m_textblob,-0.13517647058823534,0.003517647058823532,0.0,0.03517647058823532
Q-Learning (WRS),129,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),129,2,m_textblob,-0.21535820895522392,0.011535820895522391,0.0,0.11535820895522392
Q-Learning (WRS),130,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),130,2,m_textblob,-0.10720634920634922,0.0007206349206349223,0.0,0.007206349206349223
Q-Learning (WRS),131,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),131,2,m_textblob,-0.11050793650793661,0.0010507936507936605,0.0,0.010507936507936605
Q-Learning (WRS),132,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),132,2,m_textblob,-0.3192758620689655,0.02192758620689655,0.0,0.21927586206896552
Q-Learning (WRS),133,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),133,2,m_textblob,-0.1108039215686275,0.0010803921568627506,0.0,0.010803921568627506
Q-Learning (WRS),134,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),134,2,m_textblob,-0.1763939393939394,0.007639393939393941,0.0,0.0763939393939394
Q-Learning (WRS),135,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),135,2,m_textblob,-0.19284848484848482,0.009284848484848483,0.0,0.09284848484848482
Q-Learning (WRS),136,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),136,2,m_textblob,-0.31500000000000006,0.021500000000000005,0.0,0.21500000000000005
Q-Learning (WRS),137,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),137,2,m_textblob,-0.12833333333333327,0.0028333333333333266,0.0,0.028333333333333266
Q-Learning (WRS),138,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),138,2,m_textblob,-0.23348275862068968,0.013348275862068966,0.0,0.13348275862068967
Q-Learning (WRS),139,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),139,2,m_textblob,-0.207923076923077,0.010792307692307698,0.0,0.10792307692307698
Q-Learning (WRS),140,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),140,2,m_textblob,-0.22100000000000003,0.012100000000000003,0.0,0.12100000000000002
Q-Learning (WRS),141,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),141,2,m_textblob,-0.15348387096774196,0.005348387096774195,0.0,0.05348387096774195
Q-Learning (WRS),142,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),142,2,m_textblob,-0.14345454545454547,0.004345454545454547,0.0,0.043454545454545475
Q-Learning (WRS),143,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),143,2,m_textblob,-0.2036551724137931,0.010365517241379308,0.0,0.10365517241379309
Q-Learning (WRS),144,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),144,2,m_textblob,-0.17129032258064525,0.007129032258064524,0.0,0.07129032258064524
Q-Learning (WRS),145,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),145,2,m_textblob,-0.27048484848484844,0.017048484848484848,0.0,0.17048484848484846
Q-Learning (WRS),146,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),146,2,m_dbert,-1.1516226415094342,0.1051622641509434,0.0,1.051622641509434
Q-Learning (WRS),147,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),147,2,m_textblob,-0.1383548387096774,0.003835483870967741,0.0,0.03835483870967741
Q-Learning (WRS),148,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),148,2,m_textblob,-0.13424999999999998,0.0034249999999999958,0.0,0.03424999999999996
Q-Learning (WRS),149,1,trans_spanish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),149,2,m_textblob,-0.2404444444444444,0.01404444444444444,0.0,0.1404444444444444
Q-Learning (WRS),150,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),150,2,m_textblob,-0.3352131147540983,0.023521311475409833,0.0,0.23521311475409834
Q-Learning (WRS),151,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),151,2,m_textblob,-0.26199999999999996,0.016199999999999996,0.0,0.16199999999999995
Q-Learning (WRS),152,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),152,2,m_textblob,-0.1957142857142857,0.00957142857142857,0.0,0.0957142857142857
Q-Learning (WRS),153,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),153,2,m_textblob,-0.16132203389830518,0.006132203389830519,0.0,0.061322033898305185
Q-Learning (WRS),154,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),154,2,m_textblob,-0.33846153846153837,0.023846153846153836,0.0,0.23846153846153836
Q-Learning (WRS),155,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),155,2,m_textblob,-0.17424528301886788,0.007424528301886789,0.0,0.07424528301886789
Q-Learning (WRS),156,1,trans_none,0.0,0.0,0.0,0.0
