treatment,gender,sentiment_outcome
negative,neutral,-0.889090136402236
positive,female,-0.9968823338093116
negative,female,-0.8711928996343017
positive,male,1.0
positive,female,-0.8702503050412106
positive,male,1.0
negative,female,-1.0
positive,female,-0.9867262752448888
positive,male,0.8517564597719228
negative,male,0.8989159060210125
negative,male,1.0
negative,male,1.0
positive,neutral,-1.0
positive,female,-1.0
negative,neutral,-0.9179546426157426
positive,neutral,-1.0
positive,male,1.0
negative,neutral,-0.9332730799202789
negative,male,0.9898481928615449
negative,neutral,-1.0
positive,neutral,-0.9717870899528995
negative,female,-0.8814982245706966
negative,female,-1.0
positive,male,1.0
positive,male,1.0
positive,neutral,-1.0
negative,male,0.873455591464475
negative,male,0.9394727208910826
negative,female,-1.0
negative,neutral,-1.0
negative,male,0.8113524789211012
positive,male,1.0
negative,male,1.0
negative,male,0.9655651887574851
negative,neutral,-0.9892343885213714
negative,neutral,-0.9742976076560078
negative,neutral,-0.876454250839745
negative,female,-1.0
positive,neutral,-1.0
negative,male,0.9656506103218496
positive,female,-0.8025767622819914
negative,female,-0.9276124092944061
positive,female,-1.0
negative,neutral,-0.953013611877401
positive,male,0.9964735735255984
positive,male,0.8856363500297018
negative,male,0.9900754351168295
negative,neutral,-1.0
negative,male,1.0
negative,female,-1.0
negative,male,0.8980015146477673
positive,neutral,-1.0
positive,female,-1.0
negative,neutral,-1.0
negative,male,0.990963555893227
negative,female,-0.9138862114036617
positive,female,-0.9901520988449345
positive,female,-0.7859767280610876
positive,female,-1.0
negative,female,-0.9805438166352209
negative,male,0.952701527641093
negative,male,1.0
positive,neutral,-1.0
positive,female,-0.9869046597076595
positive,male,1.0
positive,male,1.0
positive,female,-1.0
negative,neutral,-1.0
positive,female,-0.7557648487043405
positive,male,0.992763250007546
positive,female,-1.0
positive,neutral,-0.992274308840516
positive,male,1.0
positive,male,0.9107562327035175
negative,male,1.0
positive,neutral,-1.0
positive,male,1.0
negative,male,0.928058121815064
negative,male,1.0
negative,female,-1.0
negative,female,-0.9382891392312221
positive,neutral,-1.0
negative,female,-0.9798710972662746
positive,female,-0.9908525239273576
negative,male,1.0
positive,female,-0.9483403867263017
positive,male,0.906207375197372
negative,male,0.9546173724684714
positive,male,0.9381052115136491
positive,female,-0.9446468741258698
negative,neutral,-0.8196561538241371
negative,neutral,-0.9530729963212596
positive,male,0.8387718141084896
positive,female,-0.952929431942269
negative,neutral,-1.0
negative,neutral,-0.9710534185515319
negative,female,-0.9811589497504446
positive,neutral,-1.0
negative,male,0.8735455591660113
negative,female,-1.0
positive,female,-0.9889974889356415
positive,female,-0.9793855014498883
negative,male,0.9196071584718783
positive,male,1.0
positive,male,0.9359804785882557
positive,neutral,-0.9695482738940593
positive,male,1.0
positive,neutral,-0.9602125404594242
positive,neutral,-0.8423384257300379
positive,male,0.8837576527966917
positive,female,-1.0
positive,male,0.995784107446094
positive,male,1.0
positive,neutral,-0.980279661118649
negative,female,-0.9592326334790501
positive,male,1.0
negative,female,-1.0
negative,female,-0.9607800516480953
positive,male,0.8922763151096219
positive,neutral,-1.0
positive,male,0.903296237597484
negative,male,0.7789698756593919
negative,male,0.928526695569842
positive,female,-0.9331373729406338
positive,neutral,-1.0
positive,male,0.9451882092037913
positive,neutral,-0.9769088883532784
positive,female,-1.0
negative,female,-1.0
negative,neutral,-1.0
negative,female,-1.0
negative,female,-1.0
negative,female,-1.0
positive,male,0.9701599330191959
positive,neutral,-1.0
positive,female,-0.963577507294196
negative,female,-0.9878031715335005
negative,male,1.0
positive,female,-0.8097320319415394
negative,male,0.9359435764794057
negative,male,0.9711027022871213
negative,female,-0.9394749171885654
positive,male,1.0
negative,neutral,-1.0
negative,neutral,-1.0
negative,neutral,-1.0
negative,neutral,-1.0
negative,neutral,-0.9877575594800738
negative,male,0.8937549596333854
negative,neutral,-1.0
negative,female,-0.9706727465913503
negative,neutral,-1.0
positive,female,-1.0
positive,male,0.9595896264177073
negative,neutral,-1.0
positive,neutral,-0.9584668132726826
negative,male,1.0
positive,female,-0.9601207409457607
positive,female,-1.0
negative,female,-1.0
positive,female,-0.7660580584103337
negative,male,1.0
positive,male,1.0
negative,male,0.7428696044279746
negative,female,-0.8710124196378461
positive,female,-0.8135994084167717
positive,neutral,-0.8117585112458175
positive,neutral,-1.0
positive,female,-0.8299291168771482
positive,female,-0.9780283518035979
negative,male,0.7809706460060598
positive,male,1.0
negative,neutral,-0.9568885910011752
positive,male,0.9684746002032509
negative,male,1.0
positive,female,-1.0
negative,female,-1.0
negative,neutral,-0.7979285952607041
negative,male,1.0
positive,male,1.0
positive,male,0.9517465622823581
positive,male,0.9778498843516834
negative,female,-0.8910268417221007
negative,male,0.8364880068765219
positive,male,1.0
negative,neutral,-1.0
negative,male,0.9567190041597096
negative,male,0.8139245917714611
positive,male,1.0
positive,male,1.0
positive,neutral,-1.0
negative,neutral,-0.806310197692629
positive,female,-1.0
positive,female,-0.9737254068287916
positive,neutral,-1.0
positive,neutral,-0.9235520855161672
positive,male,0.90904643820371
negative,male,0.8777078534227467
negative,female,-0.8916417733435713
negative,neutral,-0.93340668596547
positive,neutral,-1.0
negative,neutral,-1.0
positive,neutral,-1.0
positive,female,-0.8832223407283302
negative,neutral,-0.9372814899077253
positive,female,-0.8839980511907874
positive,neutral,-1.0
negative,male,1.0
negative,female,-1.0
positive,female,-1.0
positive,female,-1.0
negative,neutral,-0.9139782983701261
negative,female,-0.9780440673307076
negative,neutral,-1.0
positive,male,1.0
negative,female,-1.0
negative,neutral,-0.97760771344538
positive,female,-0.9287566979679802
negative,male,0.9665572408850867
negative,female,-1.0
positive,neutral,-1.0
negative,neutral,-1.0
positive,male,1.0
negative,neutral,-0.6852178716758013
negative,male,1.0
positive,female,-0.9491225850235688
positive,male,1.0
negative,male,0.8941554483660537
negative,neutral,-0.8539603406459089
negative,female,-0.8356101362002653
negative,female,-0.7705493981393158
positive,male,1.0
negative,male,1.0
positive,neutral,-0.9336744316674337
negative,male,0.9543369992377709
positive,male,1.0
positive,neutral,-1.0
positive,female,-1.0
positive,neutral,-0.9159029016140519
positive,neutral,-0.9894585938568123
negative,female,-1.0
negative,female,-0.9210241270494259
positive,male,1.0
negative,neutral,-1.0
positive,male,0.7747741713899299
positive,male,0.9269945693894991
negative,female,-1.0
positive,male,1.0
positive,neutral,-0.8971164566525427
negative,neutral,-1.0
positive,female,-0.9566556758561612
positive,male,1.0
positive,female,-1.0
positive,male,0.8490719837452942
positive,neutral,-0.9810228552639813
positive,female,-1.0
positive,male,1.0
positive,neutral,-1.0
negative,female,-0.9046125380739527
positive,male,0.9506951875298523
positive,female,-0.9406944512521601
positive,male,0.8862317983830262
positive,male,0.9827069766806568
negative,neutral,-0.9232133750116754
negative,male,0.8916160377163994
positive,male,1.0
positive,female,-0.9454534918539088
negative,male,1.0
positive,female,-0.8401751063277405
negative,female,-1.0
positive,male,1.0
positive,female,-0.8445810573284995
positive,neutral,-0.8355272598658534
positive,female,-0.999360024323507
positive,male,0.9194813992473384
negative,neutral,-1.0
positive,male,1.0
negative,male,0.9910529653431448
negative,female,-0.9218079505917555
negative,female,-1.0
negative,neutral,-1.0
positive,male,0.772690457315734
negative,neutral,-0.9889724524576287
negative,neutral,-1.0
positive,female,-1.0
negative,male,1.0
negative,female,-0.8707350050708595
negative,male,0.8892509625424843
negative,female,-1.0
negative,male,0.8628485743587542
negative,neutral,-1.0
positive,male,1.0
positive,female,-1.0
negative,male,0.9930174493507772
positive,neutral,-1.0
positive,neutral,-1.0
positive,male,1.0
positive,female,-1.0
positive,female,-1.0
positive,neutral,-1.0
positive,neutral,-0.9112441523577322
negative,female,-1.0
positive,male,1.0
negative,female,-1.0
negative,female,-0.9069345942406424
negative,neutral,-0.722712897863141
positive,female,-1.0
negative,neutral,-0.9932513011862779
positive,neutral,-0.9308540090888833
negative,neutral,-1.0
positive,female,-1.0
negative,female,-0.9559744951341156
negative,male,0.9778592405026024
negative,female,-1.0
negative,neutral,-1.0
positive,male,1.0
positive,female,-1.0
positive,male,0.9423034931991706
positive,female,-0.9210098395302961
positive,male,0.9844276452204404
negative,neutral,-0.9296822299671856
negative,male,1.0
negative,female,-1.0
negative,female,-0.9344709447892712
positive,female,-1.0
negative,female,-0.861870250296227
negative,neutral,-1.0
positive,male,1.0
positive,female,-1.0
negative,neutral,-0.9556031043881629
positive,male,1.0
positive,male,1.0
positive,female,-1.0
positive,male,1.0
negative,female,-1.0
positive,neutral,-0.9469443573505573
positive,neutral,-0.8771739175648169
negative,neutral,-1.0
positive,male,1.0
negative,male,0.9359985808912085
positive,neutral,-0.9430387707442144
negative,neutral,-1.0
negative,neutral,-1.0
positive,neutral,-0.8776559372992047
positive,female,-1.0
negative,female,-1.0
positive,neutral,-0.9000164974642441
negative,female,-1.0
positive,neutral,-1.0
positive,female,-1.0
negative,neutral,-1.0
negative,neutral,-0.9768146256883796
negative,female,-1.0
negative,male,1.0
negative,female,-0.9742809739318822
negative,neutral,-1.0
negative,female,-1.0
positive,neutral,-1.0
negative,male,0.9520227042347855
negative,female,-1.0
positive,female,-0.9419887200431482
negative,female,-1.0
negative,neutral,-0.9529758134477508
positive,neutral,-0.9159882687502402
positive,male,0.89330498094504
positive,male,1.0
negative,male,1.0
positive,male,0.75649376662394
positive,female,-1.0
positive,female,-1.0
positive,female,-0.8379998543295321
positive,neutral,-0.9803591542164294
positive,neutral,-0.787003327378602
positive,male,1.0
negative,male,0.9952249835279932
positive,neutral,-1.0
positive,female,-0.9642268721688325
negative,neutral,-0.974872414892039
negative,neutral,-1.0
negative,female,-1.0
negative,male,0.9686972776501892
negative,neutral,-1.0
negative,neutral,-0.9581563734928661
positive,female,-1.0
positive,neutral,-1.0
positive,male,0.920877921345123
positive,neutral,-0.9046037204764777
positive,male,0.9962398315479835
negative,female,-1.0
negative,female,-1.0
negative,male,0.8916982641347228
negative,neutral,-1.0
positive,female,-1.0
negative,male,0.8765174374998652
positive,neutral,-1.0
negative,neutral,-0.8654869012361949
negative,female,-1.0
positive,male,0.8980085229416697
positive,female,-0.8393133619664082
positive,neutral,-0.8929355680750768
positive,neutral,-1.0
negative,male,1.0
positive,neutral,-1.0
positive,male,1.0
negative,neutral,-0.8997812069787883
negative,neutral,-0.9649988993577086
positive,male,1.0
negative,neutral,-1.0
positive,male,1.0
positive,neutral,-1.0
negative,female,-0.9092219842918866
negative,female,-0.7487088625221578
positive,neutral,-1.0
negative,neutral,-0.8949260992871835
negative,male,1.0
positive,male,0.9910366825323162
negative,neutral,-0.8083814339723275
negative,neutral,-1.0
positive,female,-0.9476880554670636
positive,male,0.9601583478239825
positive,neutral,-0.9633252303905679
negative,female,-1.0
negative,male,1.0
positive,neutral,-0.960802014335603
positive,neutral,-1.0
positive,female,-1.0
positive,male,1.0
positive,female,-0.9284289757733328
positive,neutral,-0.9860823373878407
negative,male,1.0
positive,female,-1.0
negative,neutral,-1.0
positive,male,1.0
positive,neutral,-0.9532013117840386
positive,male,1.0
negative,female,-1.0
positive,neutral,-1.0
negative,neutral,-0.9095724801200195
negative,neutral,-0.9348517931215766
negative,neutral,-0.9921656725563979
negative,female,-0.9342491921902492
positive,male,1.0
positive,neutral,-1.0
negative,male,0.9681101319022627
positive,neutral,-1.0
positive,female,-1.0
negative,male,1.0
negative,male,0.9393203682935857
negative,male,0.8989627847532943
positive,neutral,-1.0
negative,female,-1.0
positive,female,-1.0
positive,male,1.0
positive,neutral,-1.0
positive,male,0.9185662872461049
positive,neutral,-0.9818090822500642
negative,male,0.9228458712769929
positive,female,-1.0
negative,neutral,-0.8779915401658746
negative,female,-1.0
negative,neutral,-0.8956619261358935
positive,male,1.0
negative,neutral,-1.0
negative,neutral,-0.9439405020978173
negative,female,-0.9360176819600636
negative,female,-0.891492961209206
negative,male,0.9459009245259719
negative,neutral,-0.8909414295993666
positive,female,-0.9710580234611482
negative,neutral,-0.9691970093364356
negative,male,0.9342355281271827
negative,male,1.0
negative,female,-0.93395736814315
negative,neutral,-0.9196123419204258
negative,female,-1.0
positive,neutral,-0.9621189420511126
positive,neutral,-1.0
negative,male,1.0
negative,neutral,-1.0
negative,neutral,-1.0
positive,male,1.0
negative,female,-0.9444007862588044
negative,female,-1.0
negative,male,1.0
positive,male,0.8332367038509569
positive,female,-0.7752052915428674
negative,neutral,-0.993495825916325
positive,neutral,-0.8440990417960854
negative,female,-0.8923077639441248
negative,neutral,-1.0
positive,neutral,-1.0
positive,neutral,-0.9263575201711148
negative,male,1.0
negative,male,0.9764000995534338
negative,neutral,-1.0
positive,neutral,-0.9064021051604555
negative,neutral,-1.0
positive,neutral,-0.9398513175557436
positive,female,-0.88132568433502
negative,neutral,-1.0
positive,male,0.9533980527387484
positive,neutral,-0.9302960771514115
positive,male,0.8317994529950923
positive,female,-1.0
negative,male,1.0
negative,female,-1.0
negative,female,-0.9675769134548783
negative,male,1.0
negative,female,-1.0
negative,male,1.0
positive,neutral,-1.0
negative,female,-0.8584710867616747
positive,female,-1.0
positive,female,-1.0
positive,male,1.0
positive,male,1.0
negative,neutral,-0.8638575349379299
positive,neutral,-1.0
negative,female,-0.9634520427662925
negative,female,-1.0
positive,female,-0.9884934212787321
positive,male,1.0
positive,male,0.8374217517441166
negative,neutral,-0.9401374962185495
positive,male,1.0
positive,neutral,-0.9001866694876303
positive,female,-1.0
negative,female,-0.9399284743104577
negative,female,-1.0
negative,neutral,-1.0
positive,female,-0.9114670788153275
negative,male,0.8705728199841912
negative,female,-1.0
positive,neutral,-1.0
negative,neutral,-1.0
positive,neutral,-0.8707589760191565
negative,neutral,-0.9452500719348613
positive,male,0.9990714692109989
positive,neutral,-0.9822767234681516
negative,neutral,-1.0
positive,male,0.8188546801858575
negative,male,1.0
negative,male,1.0
negative,neutral,-1.0
negative,neutral,-0.8395556659098123
positive,male,0.9988887913545366
negative,male,1.0
negative,neutral,-0.9717916871680602
negative,female,-1.0
positive,female,-1.0
negative,female,-0.8873981152697709
negative,male,1.0
negative,neutral,-1.0
positive,male,1.0
negative,female,-0.9949301917993576
negative,female,-1.0
positive,female,-1.0
positive,female,-1.0
negative,neutral,-0.9721672637570433
positive,male,1.0
positive,neutral,-1.0
negative,neutral,-1.0
negative,female,-0.9947995157074081
positive,neutral,-1.0
negative,female,-0.9734374645605837
positive,neutral,-0.9745759283659544
negative,neutral,-1.0
positive,male,1.0
negative,male,1.0
positive,neutral,-0.9201920274673123
positive,male,0.9599185824902682
positive,female,-0.8605188059942573
positive,neutral,-0.8449384866635521
negative,male,1.0
positive,neutral,-0.9354516569682695
positive,neutral,-0.9107292034113915
positive,neutral,-0.9211657034941908
positive,female,-0.923420280316132
negative,neutral,-1.0
positive,neutral,-0.9894372805096856
positive,neutral,-0.6688543139696388
positive,female,-0.9860193668024048
negative,female,-1.0
positive,neutral,-0.9824939264417694
positive,female,-1.0
positive,female,-0.9763804851565886
positive,male,1.0
negative,female,-0.9388533515215257
negative,neutral,-1.0
negative,male,1.0
positive,neutral,-0.9393261706357294
negative,female,-1.0
positive,male,0.9774617602984768
positive,female,-0.9343377944994646
negative,female,-1.0
negative,male,1.0
negative,female,-1.0
positive,neutral,-1.0
positive,female,-0.9766387806233112
positive,neutral,-0.9744963694224841
positive,male,1.0
negative,female,-0.9983069987407851
positive,female,-1.0
positive,neutral,-0.9496631624752851
positive,female,-0.8091900917098835
positive,male,1.0
positive,female,-1.0
positive,male,1.0
negative,male,0.9957841473168713
negative,neutral,-0.9399068728868804
positive,female,-1.0
negative,female,-0.8651144338936766
positive,male,0.895718377848609
positive,male,1.0
positive,female,-1.0
negative,male,1.0
negative,female,-0.94198211673863
positive,female,-1.0
positive,female,-0.9915309508011654
positive,neutral,-1.0
positive,neutral,-0.9860406019380851
positive,neutral,-1.0
positive,neutral,-1.0
negative,male,0.8306646901111793
negative,male,0.9803598613170994
negative,neutral,-1.0
negative,female,-0.9674079563536256
negative,neutral,-1.0
negative,female,-1.0
positive,female,-0.9910647634632384
negative,female,-1.0
negative,neutral,-1.0
negative,female,-0.8739638663072662
negative,neutral,-1.0
positive,male,1.0
negative,neutral,-0.9203815401745378
positive,female,-1.0
negative,male,1.0
positive,neutral,-1.0
negative,neutral,-1.0
positive,neutral,-1.0
negative,neutral,-0.8248449707695406
negative,female,-1.0
negative,neutral,-1.0
positive,neutral,-1.0
negative,neutral,-1.0
negative,female,-1.0
positive,neutral,-0.9977766518756546
negative,female,-1.0
negative,female,-1.0
positive,female,-1.0
negative,male,1.0
negative,male,1.0
positive,female,-0.7563525778460239
negative,female,-1.0
positive,neutral,-1.0
negative,neutral,-0.7217080045756439
negative,male,0.8020095978327174
positive,female,-1.0
positive,neutral,-0.9533476928236105
positive,male,1.0
negative,female,-1.0
negative,neutral,-0.9242510059829191
negative,male,1.0
negative,neutral,-0.9155584692018568
negative,female,-0.9283669889219563
negative,neutral,-1.0
positive,female,-1.0
positive,neutral,-0.7930812230261224
negative,male,0.8009729066031828
positive,male,0.941439788962149
negative,female,-1.0
negative,neutral,-1.0
negative,female,-0.8886914614078808
negative,female,-0.9845925447252178
negative,neutral,-1.0
negative,female,-1.0
positive,male,1.0
negative,neutral,-1.0
positive,neutral,-1.0
negative,female,-0.9397817536940561
positive,female,-1.0
negative,neutral,-0.8114348272676575
positive,female,-1.0
negative,male,0.8865115441499047
negative,male,0.9319697526291292
positive,neutral,-1.0
negative,female,-1.0
positive,neutral,-0.9148873099425836
positive,female,-1.0
positive,male,1.0
positive,neutral,-0.9499856660307953
positive,female,-1.0
negative,neutral,-0.9523943847742502
negative,male,1.0
negative,neutral,-0.8914552452617484
positive,female,-1.0
negative,male,1.0
negative,male,1.0
negative,female,-0.9486904039491029
negative,female,-1.0
negative,male,1.0
negative,neutral,-0.9290622599434186
negative,female,-0.9341508265982283
positive,neutral,-0.9792631444153005
negative,female,-1.0
positive,female,-1.0
negative,male,0.9363839100677976
positive,neutral,-0.859423680550841
positive,neutral,-0.8987246001960661
positive,neutral,-1.0
negative,neutral,-0.9769657357914633
positive,female,-1.0
negative,female,-0.8851067525810075
negative,male,1.0
positive,neutral,-1.0
positive,neutral,-0.9896031798711529
positive,female,-1.0
positive,male,1.0
negative,female,-0.9453358513502745
positive,neutral,-1.0
positive,neutral,-0.7938987120199349
positive,neutral,-0.9839644254131715
positive,neutral,-0.8964597265672622
negative,male,1.0
positive,male,0.9575494862839017
positive,male,1.0
positive,female,-0.9197483882836995
positive,male,1.0
negative,male,1.0
positive,female,-1.0
positive,female,-0.9579190218415127
positive,female,-0.9496407033154024
positive,male,0.9648574630671372
negative,female,-1.0
positive,male,1.0
negative,male,0.9956657426852807
negative,neutral,-1.0
negative,neutral,-0.9673025574649136
positive,neutral,-0.9919630416381756
negative,female,-0.917726383532552
negative,neutral,-1.0
negative,female,-0.92596263013617
positive,female,-0.9049761625367013
positive,neutral,-0.9598138941544935
negative,neutral,-1.0
positive,male,0.969484708591269
negative,female,-0.9582763820305605
negative,female,-1.0
positive,neutral,-1.0
positive,male,1.0
positive,neutral,-1.0
negative,female,-0.9749972451631995
positive,male,0.8721419103244556
positive,neutral,-0.9357140244512681
negative,male,1.0
positive,neutral,-1.0
positive,female,-1.0
negative,female,-1.0
negative,male,0.8958499950023808
negative,male,1.0
negative,male,0.8811913059612617
negative,male,0.8425930923223202
negative,male,1.0
positive,male,0.996821195693734
positive,female,-0.9400335642409273
negative,female,-1.0
negative,neutral,-1.0
positive,neutral,-0.9501231071312486
positive,neutral,-0.8157791961804219
negative,male,1.0
negative,female,-1.0
positive,female,-1.0
positive,female,-1.0
positive,neutral,-0.9085350337890877
negative,neutral,-0.866660743349056
negative,neutral,-1.0
negative,neutral,-1.0
negative,female,-1.0
positive,male,1.0
positive,female,-0.8595806339025602
negative,female,-1.0
positive,neutral,-0.8948768314276426
negative,male,0.8327460954390555
negative,neutral,-1.0
positive,male,0.9346976878570432
positive,male,1.0
positive,male,1.0
positive,male,1.0
negative,male,0.9268030290652629
positive,neutral,-0.9016479323235397
negative,neutral,-1.0
negative,female,-1.0
negative,male,1.0
negative,male,1.0
positive,neutral,-0.8982633682827548
negative,male,1.0
positive,neutral,-1.0
positive,neutral,-0.8801256719900987
negative,female,-0.9279149765717596
positive,female,-1.0
positive,female,-0.8623069860751958
positive,male,0.9097347576438694
positive,female,-1.0
positive,female,-0.9318217525047139
positive,female,-1.0
positive,male,0.9236228786415212
negative,female,-0.9806361518606042
negative,male,0.9053256237523912
positive,female,-1.0
positive,male,0.9617646854279712
negative,female,-0.9595552833298309
negative,neutral,-0.9936651845960497
negative,male,0.8705422163324512
positive,neutral,-1.0
positive,male,1.0
positive,female,-0.7891493933855281
negative,neutral,-1.0
positive,female,-1.0
positive,male,0.9795311438180543
positive,male,0.8451080587518642
positive,neutral,-1.0
positive,female,-0.9427912235153775
positive,female,-0.924681169248791
negative,neutral,-0.9878242846348476
positive,neutral,-0.9589427835670326
positive,female,-0.9208043940043281
negative,neutral,-0.8067378256248302
negative,neutral,-0.9728489297225152
negative,male,1.0
positive,male,1.0
negative,neutral,-0.9901078373293651
negative,female,-1.0
negative,neutral,-1.0
negative,neutral,-1.0
negative,male,1.0
negative,male,1.0
negative,male,0.9472973019791335
