treatment,gender,sentiment_outcome
positive,male,1.0
positive,neutral,1.0
positive,male,1.0
negative,female,0.9421281333776276
negative,female,1.0
positive,male,1.0
negative,female,0.9133852472039428
positive,neutral,1.0
positive,female,0.8271682879668352
positive,neutral,0.9949893242115947
negative,male,1.0
positive,neutral,0.9943503335055123
negative,female,0.935709719659087
positive,male,1.0
positive,male,0.9818864556117085
positive,male,0.91557026320988
positive,female,0.9897203409182993
negative,female,1.0
negative,neutral,1.0
positive,neutral,1.0
negative,male,1.0
negative,female,0.8772480612895303
positive,male,1.0
positive,male,1.0
negative,neutral,1.0
negative,female,0.9526100671516518
negative,male,0.8724801651075871
positive,neutral,0.9169759002297482
positive,neutral,0.9992575769986861
positive,female,1.0
positive,male,1.0
positive,female,1.0
positive,neutral,1.0
negative,female,0.8886646247852839
negative,male,1.0
positive,male,1.0
negative,neutral,1.0
positive,female,0.9962799744392578
positive,male,0.9488081069782358
negative,female,1.0
negative,male,1.0
negative,neutral,0.9359279568296849
negative,neutral,1.0
positive,neutral,1.0
negative,neutral,1.0
negative,neutral,0.9707324169527428
negative,neutral,0.9734876670054794
negative,female,1.0
negative,female,0.9590746881711885
negative,male,0.9833612521867596
negative,male,0.8476650520058954
positive,female,1.0
positive,neutral,1.0
positive,neutral,1.0
positive,neutral,0.8737779092962871
positive,neutral,1.0
negative,neutral,1.0
positive,neutral,1.0
positive,female,1.0
negative,neutral,1.0
negative,female,0.9268100347049295
negative,male,0.9529570631901507
negative,male,1.0
negative,neutral,0.9973322881105142
positive,female,1.0
positive,female,1.0
negative,male,1.0
positive,neutral,1.0
negative,male,1.0
negative,male,1.0
positive,female,1.0
positive,male,0.9163579998665403
negative,female,1.0
positive,neutral,0.965800522081677
positive,neutral,1.0
negative,neutral,0.8501588932122343
negative,male,1.0
negative,male,1.0
positive,neutral,1.0
negative,neutral,0.874847853667776
negative,male,0.9130294019250302
positive,male,1.0
positive,neutral,1.0
negative,female,1.0
negative,female,1.0
positive,male,1.0
negative,male,1.0
negative,male,1.0
negative,female,0.9961330222946775
positive,male,0.9862640521040674
positive,neutral,0.8963050463229592
negative,male,0.8746706754160343
positive,neutral,1.0
positive,female,1.0
negative,male,0.8964232674658977
negative,male,1.0
negative,male,0.9661261651926232
negative,neutral,1.0
negative,neutral,0.867495949472122
positive,neutral,0.958779895521734
negative,male,0.9349301520677944
positive,female,1.0
positive,neutral,1.0
negative,neutral,1.0
negative,neutral,1.0
negative,female,1.0
negative,neutral,0.9123480112283475
negative,neutral,1.0
negative,neutral,0.9556880988311091
negative,neutral,0.9907715084908022
positive,male,0.9214791603514899
positive,male,0.9850222826258566
negative,female,1.0
negative,neutral,1.0
positive,male,0.8491309155556805
negative,neutral,1.0
negative,male,0.9219650227254501
positive,female,1.0
positive,female,1.0
negative,male,1.0
positive,male,0.9752613832112175
positive,neutral,1.0
positive,male,0.9268121679514504
positive,female,0.8694924750376622
negative,female,0.9563684372887997
positive,male,0.9352201488668547
negative,female,1.0
negative,male,1.0
negative,female,0.8666840432403421
negative,female,0.9172135066128907
negative,female,1.0
negative,male,1.0
positive,neutral,1.0
positive,neutral,0.9138207411783923
positive,male,1.0
negative,neutral,0.9077147781128301
positive,neutral,1.0
positive,male,0.9328270309414939
negative,female,1.0
positive,female,0.9838756061492341
negative,neutral,0.9500678349600707
negative,neutral,1.0
positive,neutral,0.9936641530999614
positive,neutral,1.0
positive,male,0.9332737680946264
positive,female,1.0
positive,female,1.0
positive,female,0.7775102655278074
positive,neutral,1.0
negative,female,0.8914228013043012
negative,neutral,0.9861053873131653
negative,neutral,0.9954760684764593
positive,male,1.0
negative,male,1.0
positive,male,0.9266726415229282
positive,male,0.9222243519670483
negative,male,1.0
positive,female,0.978312008641669
negative,male,1.0
positive,male,1.0
negative,male,0.9385879702321283
negative,female,0.8550850766674745
negative,neutral,1.0
positive,neutral,1.0
negative,male,0.9247268033406841
negative,male,0.991470573455252
negative,male,1.0
negative,female,0.9949076495696652
positive,neutral,0.9935098233900749
positive,female,1.0
negative,neutral,1.0
negative,male,0.8457294105570322
negative,female,1.0
positive,neutral,1.0
negative,female,0.8247744644435773
positive,male,1.0
positive,male,1.0
positive,male,1.0
positive,neutral,0.9959969816927671
negative,neutral,1.0
negative,neutral,0.8846019431931413
negative,male,0.9678689565102759
negative,male,1.0
negative,male,1.0
positive,male,0.9860413314813313
negative,female,1.0
negative,female,1.0
negative,female,1.0
positive,male,1.0
negative,female,0.8229070640495255
positive,neutral,1.0
positive,neutral,0.9023485581778917
positive,male,1.0
negative,female,1.0
positive,male,1.0
positive,female,1.0
positive,female,1.0
positive,male,0.9694510690856952
positive,female,1.0
negative,neutral,0.9842638223974538
negative,male,0.954344533376988
negative,neutral,1.0
negative,female,0.9962582646862743
negative,female,1.0
positive,neutral,0.939558326436702
positive,neutral,1.0
negative,male,0.9486584167933244
positive,neutral,0.9589209201503045
positive,female,0.9715380683627954
negative,neutral,1.0
positive,male,0.8935302987158442
positive,female,0.9464906548252335
positive,male,1.0
negative,female,1.0
negative,male,1.0
positive,male,0.9637184704657433
negative,female,1.0
negative,male,1.0
negative,female,1.0
positive,male,0.8883323453168378
negative,neutral,1.0
positive,male,1.0
positive,male,1.0
negative,female,1.0
positive,neutral,0.9827545011654987
negative,male,1.0
positive,male,1.0
positive,neutral,1.0
negative,neutral,1.0
negative,male,0.855397457136331
positive,neutral,1.0
positive,neutral,0.9549860323429846
positive,neutral,0.9118559091497662
positive,male,0.9803772326517228
negative,neutral,0.822222867513571
positive,female,0.9743096435557762
positive,neutral,0.920128724079489
negative,male,1.0
negative,male,0.9968311563766167
positive,neutral,0.9647866355162901
positive,male,1.0
negative,male,0.9765253055681764
positive,male,1.0
negative,neutral,1.0
negative,male,1.0
negative,female,0.9195509314165432
positive,female,1.0
positive,neutral,1.0
positive,female,1.0
negative,male,0.9852304539785366
negative,male,1.0
positive,female,1.0
negative,female,0.9649251220312909
negative,female,1.0
negative,male,0.94241432051506
negative,male,1.0
negative,female,1.0
positive,male,0.9745467007349189
positive,male,0.9353393029301184
negative,neutral,1.0
positive,female,0.9533152479089277
negative,neutral,1.0
negative,neutral,0.8865580290188789
negative,male,1.0
positive,male,0.9165885171483261
negative,neutral,1.0
positive,male,0.9480308348209497
negative,neutral,0.9349589501541495
negative,neutral,1.0
positive,female,1.0
positive,neutral,0.8320112186651922
positive,female,0.9481568417598081
negative,neutral,1.0
positive,female,0.9980715890991825
positive,female,1.0
negative,neutral,0.9108458888314501
positive,male,1.0
positive,female,0.9272497290560742
negative,female,1.0
negative,female,1.0
negative,female,1.0
negative,female,1.0
positive,female,1.0
positive,neutral,0.8390225173540522
positive,male,0.9293295588190318
negative,female,1.0
positive,male,0.996846505417971
negative,male,1.0
positive,neutral,0.9118356771917074
positive,male,0.8630173600743052
positive,female,0.9728091570953465
positive,female,0.9129778762861901
positive,neutral,1.0
negative,female,0.917810639411887
negative,male,0.9885304857139088
negative,neutral,0.9706439477033533
negative,female,0.9217362478752754
negative,male,1.0
negative,male,0.9284889288688474
negative,neutral,1.0
positive,neutral,0.9974747173260619
positive,neutral,0.9714798735217062
negative,male,0.7722752797333469
positive,female,0.9046552290923882
negative,male,1.0
negative,male,0.943189791270618
negative,male,0.94101260037358
positive,female,0.9458911543565998
positive,neutral,0.8517311951146839
negative,female,0.9505098771287694
positive,male,0.8649419104973154
negative,female,0.8964331500316784
positive,male,1.0
negative,neutral,1.0
positive,male,0.8341073350893056
negative,male,0.9976707198041707
negative,female,0.8351083386237864
negative,female,1.0
negative,neutral,1.0
negative,female,1.0
negative,female,0.9490197842340188
positive,female,0.8829983940666559
positive,neutral,0.9777352555515183
positive,neutral,1.0
positive,male,1.0
positive,neutral,0.8687719008981433
negative,female,0.9793661443730958
positive,neutral,1.0
negative,neutral,1.0
negative,neutral,0.916387523311154
negative,female,1.0
negative,neutral,0.9291154849531824
positive,male,0.9210793951079012
negative,neutral,0.8187761492561412
positive,female,1.0
positive,male,0.9859201382374381
negative,female,1.0
negative,male,1.0
positive,male,0.9959785521269188
negative,female,1.0
positive,neutral,0.8513201259069431
positive,female,1.0
negative,neutral,0.9808448826301907
negative,neutral,1.0
negative,neutral,1.0
negative,female,1.0
negative,female,0.8186869874852516
positive,neutral,0.8810273987192103
negative,female,0.9931051072222865
positive,neutral,1.0
positive,neutral,1.0
negative,female,1.0
positive,neutral,0.9777128029331935
negative,male,0.9381556761876493
positive,female,1.0
positive,male,0.9262962917464534
negative,neutral,1.0
positive,neutral,0.924022676077503
negative,male,1.0
negative,female,1.0
negative,female,1.0
positive,female,1.0
positive,neutral,1.0
positive,female,0.9458402138320325
positive,female,1.0
negative,female,1.0
positive,neutral,0.8949256872589322
negative,female,0.9737411111614301
positive,male,1.0
negative,male,0.8091116940010682
positive,male,0.9574454341828802
negative,male,1.0
positive,neutral,1.0
positive,neutral,1.0
negative,male,0.9920944863213714
negative,neutral,0.9044043433088047
negative,female,0.8532607238326887
negative,female,0.9473039731493035
positive,neutral,1.0
negative,male,0.7517209064594443
negative,male,0.9254155637634673
positive,male,1.0
negative,neutral,0.9718343297253554
positive,male,1.0
positive,male,1.0
positive,neutral,1.0
positive,female,1.0
positive,female,1.0
positive,male,0.9288540859272163
positive,neutral,0.9902902616495243
positive,female,0.9225720467989551
negative,neutral,1.0
negative,female,1.0
positive,neutral,1.0
negative,female,1.0
positive,male,0.9838490131112623
positive,neutral,0.944724268545923
negative,neutral,1.0
negative,neutral,1.0
negative,male,0.8027347245271581
positive,male,1.0
positive,female,1.0
negative,male,1.0
negative,female,1.0
positive,neutral,1.0
positive,female,0.8762608739365464
negative,neutral,0.9981129974584065
negative,male,0.9919720809365792
positive,female,0.8812191941020175
negative,neutral,0.8460711729940588
negative,male,0.9706583847225143
positive,female,0.96208221374678
negative,female,0.9160119414890836
negative,female,1.0
positive,female,0.9364147953032007
negative,neutral,0.8285631488075618
positive,male,1.0
negative,male,0.9020390555133929
negative,male,1.0
negative,neutral,0.956184236076226
positive,female,0.9406870064310008
negative,male,1.0
positive,neutral,0.9963911305183641
negative,female,1.0
negative,male,0.8921062293003531
positive,neutral,0.9301781615856062
negative,male,0.8926041504346404
negative,female,1.0
negative,male,1.0
positive,neutral,1.0
negative,neutral,0.9730915156943708
negative,neutral,0.9122578029712415
positive,neutral,0.9395874784786187
negative,male,1.0
positive,neutral,0.9578091099038798
negative,male,1.0
positive,neutral,0.8164317762358114
negative,female,0.9491531794725162
negative,male,0.9938883245138168
negative,male,0.9069243697816806
positive,neutral,0.9074786474937959
negative,male,1.0
positive,male,1.0
positive,neutral,0.9874639834836965
positive,female,1.0
positive,male,0.9940469152588403
positive,male,1.0
negative,neutral,0.8532403226167413
positive,neutral,1.0
negative,neutral,0.9919338352149233
positive,neutral,1.0
negative,female,1.0
positive,neutral,1.0
positive,male,1.0
negative,neutral,0.9660866127290432
positive,male,1.0
negative,neutral,0.9621205566263498
positive,male,0.9431620199779537
positive,male,1.0
positive,neutral,0.955420849227244
positive,neutral,0.9857684986990625
positive,female,0.7881832633726569
positive,neutral,1.0
positive,female,0.9734340495716538
positive,neutral,1.0
positive,neutral,0.8382510109329382
positive,female,1.0
negative,male,0.9492764173187289
negative,male,1.0
positive,male,0.8476180721440076
positive,neutral,1.0
positive,neutral,0.8499183168324023
negative,neutral,0.9281389897070099
negative,female,1.0
negative,female,1.0
positive,neutral,0.987455825398997
negative,male,1.0
positive,neutral,0.9652985440153173
negative,neutral,0.9058793160342099
negative,female,1.0
negative,male,1.0
negative,neutral,0.9951746866703374
positive,male,0.8260512890543809
negative,neutral,0.848047699521464
negative,female,1.0
negative,neutral,1.0
positive,female,0.9118158739274144
positive,male,1.0
negative,female,1.0
negative,female,1.0
negative,neutral,0.9327859446401995
positive,male,1.0
negative,neutral,0.9498992816623983
negative,neutral,0.9877723912510569
negative,female,0.9937434926630396
positive,neutral,0.9115635935833968
negative,female,1.0
positive,male,1.0
negative,neutral,1.0
negative,female,0.914833913715478
negative,neutral,1.0
positive,neutral,1.0
negative,male,1.0
positive,neutral,0.9681483921838006
negative,male,1.0
positive,female,1.0
positive,male,1.0
positive,male,1.0
negative,neutral,1.0
negative,male,0.9900315936749938
negative,neutral,0.9732996775952529
negative,female,0.9666579546983209
negative,female,0.87544495782855
negative,female,0.8976753879899629
negative,neutral,0.8513202139329581
positive,neutral,1.0
negative,male,1.0
positive,male,0.9999638281142985
positive,female,1.0
negative,male,0.8042515944433869
negative,neutral,0.9914862319536631
positive,neutral,1.0
positive,male,1.0
positive,female,0.9501223373583672
negative,female,1.0
positive,neutral,0.9229490401591829
negative,female,0.9635768960214826
negative,female,0.8918707657468409
negative,neutral,0.9871763228021762
negative,neutral,0.8357412826909414
negative,neutral,0.9386737691142159
positive,neutral,1.0
positive,male,0.9389430099578976
positive,female,1.0
positive,neutral,1.0
positive,female,1.0
negative,male,0.9883452811007474
negative,female,0.9426162768562362
negative,female,1.0
negative,male,1.0
positive,male,0.9357320136032815
positive,neutral,0.915585453139137
negative,neutral,0.9698883991403753
negative,neutral,0.9217607537222006
positive,neutral,0.9850403738169089
negative,female,0.9389204768429698
positive,neutral,0.7790529827283756
negative,female,1.0
positive,female,1.0
positive,neutral,0.9415586981843607
positive,neutral,1.0
positive,female,0.985700392882063
positive,neutral,1.0
positive,female,0.905644073296435
negative,neutral,0.9168891560974232
positive,neutral,0.9187784015606032
positive,male,1.0
positive,female,0.9457027944816885
positive,neutral,1.0
negative,female,1.0
negative,female,0.8043138346812257
positive,female,0.9344989933002807
positive,female,0.9983330155857553
positive,neutral,0.9367040811538672
positive,neutral,0.920279741296559
positive,female,1.0
positive,male,1.0
negative,female,0.9754200544524543
positive,neutral,1.0
positive,female,0.9916070488085981
negative,neutral,1.0
positive,neutral,0.9759569829690045
negative,female,1.0
negative,male,0.8290143948019274
negative,neutral,0.9776228790757238
positive,male,0.9943564771210517
negative,female,0.960289183489261
negative,female,1.0
negative,male,1.0
positive,male,1.0
negative,neutral,1.0
negative,male,1.0
negative,male,0.9697507774608756
negative,male,0.9474683484362735
negative,neutral,0.9833944110379612
negative,female,1.0
negative,male,1.0
negative,female,0.9833940063816183
negative,male,0.9480352696654856
negative,neutral,0.8980818019288455
positive,neutral,0.8767445759890286
positive,neutral,0.9815649629553268
negative,neutral,0.964302489118863
negative,female,0.8992147965353112
positive,female,1.0
negative,female,0.8847273902341721
positive,female,1.0
positive,female,0.9965220702741134
negative,male,1.0
positive,male,0.9065923148678919
negative,female,0.9844793966653673
positive,male,1.0
negative,neutral,1.0
positive,male,0.9473687026883374
positive,male,1.0
negative,male,0.9878057376835399
negative,neutral,1.0
negative,male,0.9172305023397486
negative,neutral,0.8555548929887089
positive,male,1.0
negative,male,1.0
positive,male,1.0
positive,male,0.9470646469567906
positive,neutral,1.0
positive,female,1.0
negative,neutral,1.0
positive,neutral,0.9664856781022511
negative,male,0.9808770734504465
negative,male,1.0
positive,neutral,0.9473861395840592
positive,neutral,0.9717681618415847
negative,female,1.0
negative,neutral,1.0
negative,neutral,0.8191567322739212
negative,female,0.9958669370516153
positive,neutral,0.9539101786254125
positive,female,0.9283977410403638
positive,male,0.9355422111912141
negative,male,1.0
negative,male,0.810342056170255
positive,female,1.0
positive,neutral,0.943476914223441
negative,female,1.0
negative,neutral,1.0
negative,neutral,1.0
negative,male,1.0
positive,neutral,1.0
positive,neutral,1.0
negative,male,1.0
negative,male,1.0
positive,neutral,1.0
positive,male,1.0
negative,neutral,1.0
positive,male,1.0
positive,neutral,0.9327008064260589
negative,female,1.0
negative,male,0.960124437838592
negative,female,0.8883687107647931
negative,neutral,0.9819016089964344
positive,male,1.0
positive,female,0.810293141164828
positive,female,0.9735767673196649
positive,female,0.9425061460118833
negative,female,0.9789897712610273
positive,neutral,1.0
positive,neutral,1.0
negative,neutral,1.0
negative,neutral,1.0
positive,female,0.9020081706656078
positive,male,0.9590585179942391
negative,male,1.0
positive,male,0.924064751535812
positive,neutral,1.0
positive,neutral,0.9745899068792104
positive,neutral,1.0
negative,male,1.0
positive,male,0.9530019617420002
negative,female,0.9930765323907798
negative,female,0.929128829432382
positive,male,0.9615698060749689
negative,female,1.0
positive,female,1.0
negative,female,0.9375929530367169
negative,female,1.0
positive,male,0.9937840876128571
positive,neutral,1.0
positive,neutral,0.9897241527707639
positive,neutral,1.0
positive,neutral,1.0
negative,female,1.0
positive,neutral,1.0
positive,neutral,1.0
positive,neutral,0.9787074565435097
positive,neutral,1.0
negative,female,1.0
negative,neutral,0.9363258432782378
positive,neutral,1.0
negative,female,0.9747616901976455
negative,neutral,0.9607805504729953
positive,male,1.0
negative,neutral,0.9991000470881243
positive,male,0.9082769752043588
negative,female,1.0
positive,female,1.0
negative,female,1.0
positive,female,0.9290121477052266
negative,neutral,1.0
positive,neutral,0.966711029370124
negative,neutral,1.0
positive,female,0.9559145332882164
positive,neutral,0.9771780843504475
positive,male,0.9171088644013283
positive,female,0.9815820994611523
positive,neutral,1.0
positive,female,0.8155069348615364
negative,male,1.0
negative,female,1.0
positive,neutral,0.8111952810838705
negative,male,0.8646788573287678
negative,female,0.8853375345650853
positive,male,0.8923949934042691
negative,female,0.7932307996863338
positive,female,0.892079268730368
positive,female,1.0
negative,female,0.9819718931753235
negative,neutral,1.0
positive,female,1.0
negative,female,0.8114041432340928
positive,female,0.9623993061365269
positive,neutral,0.9528090119031326
negative,neutral,0.9242637435347415
positive,male,1.0
